id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
599,32,male,2,free,little,NA,3863,24,business
996,40,male,3,own,little,little,3857,30,car
366,27,male,2,own,little,NA,3850,18,car
191,34,male,1,free,moderate,moderate,3844,48,business
211,45,female,1,own,NA,NA,3835,36,radio/TV
79,22,male,2,own,little,moderate,3832,30,furniture/equipment
629,64,male,1,own,NA,NA,3832,9,education
258,23,female,2,own,moderate,NA,3812,15,car
301,42,female,2,own,little,moderate,3804,36,radio/TV
824,35,male,3,own,little,NA,3780,18,furniture/equipment
183,50,male,2,own,rich,NA,3777,24,furniture/equipment
906,24,male,1,own,NA,little,3763,21,car
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV
487,62,female,2,free,little,NA,3757,24,car
312,26,female,2,own,little,rich,3749,24,furniture/equipment
907,27,male,2,own,NA,moderate,3711,36,education
617,37,male,2,rent,little,little,3676,6,car
630,28,female,2,own,little,little,3660,24,radio/TV
956,49,male,1,own,NA,rich,3656,30,radio/TV
620,27,male,2,own,little,moderate,3652,21,business
689,31,male,2,own,rich,little,3651,12,car
367,22,female,2,rent,little,little,3650,18,furniture/equipment
319,27,female,1,own,little,little,3643,15,furniture/equipment
613,22,female,2,rent,little,little,3632,24,car
482,57,female,2,rent,rich,little,3622,30,furniture/equipment
949,31,male,2,own,moderate,NA,3621,24,radio/TV
460,37,male,2,own,little,little,3620,36,furniture/equipment
93,20,male,2,rent,NA,rich,3617,24,furniture/equipment
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment
537,37,female,2,own,little,moderate,3612,18,furniture/equipment
667,27,female,2,own,little,NA,3609,48,business
341,26,female,1,rent,little,little,3599,21,furniture/equipment
877,28,male,2,own,little,NA,3595,36,radio/TV
908,46,female,1,own,little,NA,3594,15,car
874,29,male,1,own,little,little,3590,12,furniture/equipment
950,40,male,0,own,little,moderate,3590,18,business
115,47,male,2,own,NA,NA,3578,48,radio/TV
859,26,male,2,rent,moderate,NA,3577,9,car
480,23,female,1,own,little,moderate,3573,12,radio/TV
967,54,female,3,rent,little,NA,3568,15,radio/TV
145,30,male,2,own,moderate,moderate,3566,48,business
990,37,male,1,own,NA,NA,3565,12,education
962,29,male,2,own,NA,NA,3556,15,car
558,27,male,2,own,little,little,3552,24,furniture/equipment
776,37,male,2,own,little,NA,3535,36,car
940,45,male,3,own,NA,NA,3527,12,car
489,26,male,2,rent,little,NA,3518,6,car
158,38,male,2,own,moderate,moderate,3512,24,car
777,25,female,2,own,little,little,3509,18,radio/TV
129,29,female,2,own,little,little,3499,12,car
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment
523,23,female,2,own,moderate,NA,3488,24,car
901,44,male,2,own,NA,NA,3485,20,car
430,74,male,1,own,little,NA,3448,5,business
244,35,female,1,own,quite rich,NA,3447,12,education
368,42,male,2,own,little,little,3446,36,furniture/equipment
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment
19,31,male,2,own,quite rich,NA,3430,24,radio/TV
844,47,male,2,own,little,NA,3422,18,furniture/equipment
142,27,male,3,own,little,little,3416,27,radio/TV
174,26,male,2,own,little,little,3414,21,education
361,37,male,3,own,NA,rich,3399,12,radio/TV
325,39,male,1,own,little,little,3398,8,car
438,65,male,0,own,little,little,3394,42,repairs
457,35,male,2,free,little,little,3386,12,car
335,44,male,3,rent,little,little,3384,6,furniture/equipment
734,37,female,2,own,little,NA,3380,4,car
53,31,male,2,own,NA,NA,3378,18,car
280,23,male,2,rent,rich,NA,3368,15,car
612,29,female,2,own,rich,little,3357,21,radio/TV
603,28,female,3,own,little,NA,3349,36,furniture/equipment
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment
919,39,male,3,rent,little,little,3345,24,furniture/equipment
857,28,male,2,free,little,NA,3343,15,furniture/equipment
214,51,male,2,own,NA,NA,3342,36,radio/TV
867,42,male,2,own,little,NA,3331,12,furniture/equipment
772,36,male,3,own,little,NA,3275,21,car
392,39,male,3,free,little,little,3249,36,car
189,33,female,2,own,little,moderate,3244,18,furniture/equipment
408,26,male,3,own,quite rich,NA,3235,24,radio/TV
570,23,female,1,rent,little,little,3234,24,furniture/equipment
352,38,male,3,own,NA,NA,3229,18,car
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV
909,33,female,1,own,NA,moderate,3195,9,car
521,24,female,2,own,little,little,3190,18,radio/TV
420,20,female,2,rent,rich,NA,3186,15,car
64,26,female,2,own,little,NA,3181,24,radio/TV
914,31,male,2,rent,little,little,3161,24,business
742,41,male,2,own,NA,NA,3160,21,radio/TV
229,22,male,2,free,little,little,3149,24,furniture/equipment
718,31,male,2,own,NA,rich,3148,24,radio/TV
581,49,male,1,own,little,moderate,3124,12,car
500,27,female,2,own,little,little,3123,24,car
475,26,female,2,rent,little,little,3114,18,furniture/equipment
766,31,male,1,own,little,little,3108,30,furniture/equipment
534,25,male,2,own,NA,NA,3105,24,radio/TV
216,31,male,2,own,little,little,3104,18,business
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV
370,36,male,2,own,NA,NA,3079,36,car
486,52,male,2,own,little,NA,3077,12,radio/TV
716,40,male,2,own,NA,NA,3077,30,radio/TV
210,33,male,2,own,NA,NA,3074,9,radio/TV
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment
794,32,male,2,rent,quite rich,NA,3062,24,furniture/equipment
273,28,male,2,own,little,moderate,3060,48,radio/TV
8,61,male,1,own,rich,NA,3059,12,radio/TV
813,54,male,2,own,little,little,3051,48,domestic appliances
539,45,female,1,own,little,rich,3049,18,furniture/equipment
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV
749,33,male,2,own,little,NA,3029,15,car
218,24,male,1,rent,little,little,3021,24,furniture/equipment
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment
669,47,male,2,own,little,rich,3017,30,radio/TV
821,24,male,2,own,little,rich,3016,12,radio/TV
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment
495,20,male,2,own,NA,little,2996,24,furniture/equipment
841,28,male,1,own,little,NA,2993,21,car
912,25,female,2,own,NA,moderate,2991,30,radio/TV
165,32,male,2,own,quite rich,NA,2978,6,furniture/equipment
223,32,male,2,own,NA,NA,2978,24,business
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment
560,49,male,2,free,NA,little,2964,24,car
838,63,male,2,own,little,little,2957,24,car
576,27,female,2,own,little,moderate,2930,12,radio/TV
465,63,male,2,own,little,little,2924,24,car
982,28,female,3,own,moderate,rich,2923,21,car
322,34,male,3,free,little,little,2910,24,car
767,31,female,2,rent,NA,NA,2901,10,car
404,43,male,2,own,NA,moderate,2899,18,car
692,29,male,2,own,moderate,moderate,2896,24,radio/TV
793,51,male,2,free,little,rich,2892,24,furniture/equipment
160,36,male,2,own,moderate,NA,2872,24,radio/TV
543,34,male,1,own,little,rich,2864,18,furniture/equipment
687,30,male,2,free,moderate,moderate,2862,36,car
947,38,male,3,own,NA,NA,2859,12,car
916,32,male,2,own,moderate,NA,2848,10,car
6,53,male,2,own,quite rich,NA,2835,24,furniture/equipment
974,33,female,2,own,little,NA,2831,30,radio/TV
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment
886,34,male,2,own,NA,moderate,2825,24,business
578,27,male,2,own,little,moderate,2820,36,car
770,26,female,2,rent,NA,little,2812,24,car
586,36,male,2,rent,little,little,2799,9,car
575,24,female,2,own,little,NA,2788,15,furniture/equipment
418,31,female,3,own,quite rich,NA,2782,21,car
425,21,male,2,rent,little,moderate,2779,18,car
598,31,male,2,own,little,NA,2775,18,car
237,61,male,1,rent,moderate,moderate,2767,21,business
468,26,female,2,own,little,NA,2764,33,business
424,25,female,2,own,NA,moderate,2762,12,furniture/equipment
198,36,male,2,free,NA,moderate,2760,24,car
452,34,male,2,own,little,NA,2759,12,furniture/equipment
688,35,male,2,own,moderate,NA,2753,9,radio/TV
787,38,male,2,own,NA,NA,2751,48,car
263,57,female,1,free,little,NA,2748,12,education
315,31,male,2,own,little,little,2746,36,furniture/equipment
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment
426,29,male,2,own,little,NA,2743,28,radio/TV
138,35,male,2,own,NA,moderate,2728,15,radio/TV
593,20,female,1,rent,little,moderate,2718,24,car
822,41,male,2,own,little,little,2712,36,furniture/equipment
132,27,male,1,own,little,NA,2708,15,furniture/equipment
275,32,male,2,own,little,NA,2697,9,radio/TV
512,26,male,2,rent,little,rich,2687,15,business
256,35,male,1,own,little,NA,2684,24,radio/TV
455,29,female,3,own,little,NA,2679,24,car
786,40,male,2,own,quite rich,NA,2675,22,radio/TV
607,50,female,2,free,moderate,moderate,2671,36,radio/TV
453,35,male,3,own,little,NA,2670,24,car
270,32,male,2,own,NA,NA,2662,18,car
323,28,male,2,own,rich,little,2659,18,furniture/equipment
21,44,male,2,rent,quite rich,little,2647,6,radio/TV
531,28,female,2,rent,moderate,moderate,2631,15,car
691,25,female,1,own,moderate,moderate,2631,15,repairs
442,29,male,2,own,little,moderate,2629,20,vacation/others
900,43,male,2,rent,little,little,2625,16,car
97,34,male,2,own,moderate,moderate,2622,18,business
225,27,male,2,own,little,NA,2613,36,repairs
839,46,male,2,own,little,NA,2611,24,radio/TV
896,28,female,3,rent,little,little,2606,21,radio/TV
733,28,female,2,rent,rich,NA,2603,24,car
624,65,male,2,free,little,little,2600,18,radio/TV
674,41,male,1,own,quite rich,NA,2580,21,business
416,33,male,1,own,little,little,2579,12,car
396,55,female,3,free,little,little,2578,12,furniture/equipment
567,34,male,2,own,rich,NA,2578,24,radio/TV
176,42,male,2,own,little,little,2577,12,furniture/equipment
447,35,male,2,own,little,moderate,2576,7,radio/TV
724,21,female,2,rent,little,NA,2570,27,car
476,24,male,2,own,quite rich,NA,2569,39,car
978,47,male,1,own,little,NA,2538,24,car
704,32,female,2,own,little,moderate,2528,27,business
239,39,male,2,own,little,little,2522,30,radio/TV
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV
298,43,male,2,own,little,NA,2515,18,furniture/equipment
746,23,female,2,rent,little,little,2511,15,car
231,51,male,1,free,quite rich,NA,2507,9,car
703,41,male,2,own,moderate,moderate,2503,30,business
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment
712,46,male,3,own,NA,NA,2476,21,car
364,25,male,0,own,little,little,2473,18,furniture/equipment
764,27,male,2,own,moderate,NA,2463,24,car
143,22,male,2,own,little,little,2462,18,furniture/equipment
104,26,male,2,rent,NA,NA,2445,12,car
890,43,male,3,own,little,little,2442,27,business
862,35,female,2,own,little,little,2439,24,radio/TV
977,42,male,2,own,NA,moderate,2427,18,business
16,53,male,2,own,NA,NA,2424,24,radio/TV
28,34,male,2,own,little,moderate,2415,7,radio/TV
359,23,female,2,rent,little,little,2406,30,furniture/equipment
394,31,male,3,own,little,NA,2406,9,furniture/equipment
276,26,female,2,own,little,NA,2404,18,radio/TV
963,35,male,2,own,quite rich,NA,2397,24,radio/TV
69,25,female,2,own,NA,NA,2394,36,radio/TV
994,50,male,2,own,NA,NA,2390,12,car
866,27,female,2,own,little,little,2389,18,radio/TV
583,33,male,1,rent,little,moderate,2384,36,repairs
678,64,male,1,rent,little,little,2384,24,radio/TV
830,44,male,2,own,quite rich,NA,2375,24,business
119,36,male,3,own,quite rich,moderate,2366,12,car
506,36,male,2,own,quite rich,rich,2360,15,car
918,33,male,2,own,moderate,little,2359,24,furniture/equipment
961,47,male,2,own,little,moderate,2353,21,car
397,46,male,2,own,little,little,2348,36,furniture/equipment
654,35,male,2,own,little,NA,2346,24,car
98,36,male,2,own,little,moderate,2337,36,radio/TV
40,30,male,3,own,quite rich,NA,2333,30,radio/TV
50,29,male,1,own,NA,moderate,2333,24,furniture/equipment
356,49,male,2,own,NA,NA,2331,12,radio/TV
600,45,female,2,own,little,moderate,2329,7,radio/TV
834,25,female,1,own,little,rich,2327,15,radio/TV
388,27,male,2,own,quite rich,moderate,2326,15,business
740,32,male,2,own,moderate,little,2325,24,car
101,24,male,2,rent,little,moderate,2323,36,radio/TV
376,34,male,2,own,little,NA,2320,18,radio/TV
535,33,male,2,rent,little,rich,2319,21,education
84,52,male,1,own,little,little,2315,10,radio/TV
652,45,male,2,own,little,little,2303,24,car
528,31,male,2,rent,little,little,2302,36,radio/TV
795,22,female,2,rent,moderate,NA,2301,9,furniture/equipment
46,39,male,2,own,quite rich,NA,2299,36,radio/TV
412,42,male,3,own,little,NA,2292,12,business
144,23,female,2,own,little,NA,2288,21,furniture/equipment
694,28,male,2,own,little,NA,2284,24,radio/TV
681,37,male,2,free,NA,NA,2279,12,radio/TV
556,28,female,2,own,moderate,moderate,2278,18,car
530,32,male,2,own,little,moderate,2273,36,education
514,54,male,2,own,NA,NA,2255,24,car
251,46,female,1,own,little,rich,2251,12,furniture/equipment
88,30,male,3,own,moderate,little,2249,18,car
362,36,female,2,own,little,rich,2247,12,car
589,60,male,2,own,little,little,2246,12,furniture/equipment
22,48,male,1,rent,little,little,2241,10,car
662,50,male,2,own,little,NA,2241,21,furniture/equipment
385,25,female,2,own,little,NA,2238,18,radio/TV
850,33,male,2,rent,little,little,2235,20,car
54,57,male,2,free,little,moderate,2225,36,car
773,52,male,2,own,moderate,NA,2223,24,radio/TV
865,20,female,2,rent,quite rich,NA,2221,15,furniture/equipment
762,24,male,1,own,little,little,2214,12,radio/TV
380,39,male,2,own,NA,little,2212,20,furniture/equipment
864,25,male,1,rent,little,NA,2210,10,furniture/equipment
406,43,male,2,own,NA,NA,2197,24,car
898,33,female,1,rent,NA,NA,2186,15,furniture/equipment
882,36,male,2,own,NA,moderate,2181,30,car
66,29,female,2,own,little,NA,2171,12,radio/TV
892,38,male,1,own,little,little,2171,12,car
861,28,male,2,own,little,NA,2169,18,business
252,24,female,2,own,little,moderate,2150,30,car
257,29,male,2,free,little,little,2149,12,radio/TV
372,23,female,2,rent,little,NA,2146,10,furniture/equipment
951,24,male,2,own,little,little,2145,36,business
913,28,male,2,own,rich,NA,2142,11,business
232,35,male,2,own,moderate,NA,2141,12,radio/TV
434,25,male,2,own,little,little,2136,9,furniture/equipment
20,48,male,2,own,little,NA,2134,9,car
584,52,female,3,free,NA,NA,2133,12,car
117,27,female,2,rent,NA,little,2132,10,furniture/equipment
761,24,female,2,rent,little,little,2124,18,furniture/equipment
494,39,male,1,rent,little,little,2122,12,car
125,30,male,2,own,little,little,2121,12,car
709,37,male,1,own,little,moderate,2118,9,radio/TV
626,41,male,2,own,little,rich,2116,6,furniture/equipment
193,29,male,2,rent,little,NA,2108,6,radio/TV
336,23,female,1,own,little,moderate,2101,13,radio/TV
37,37,male,2,own,little,rich,2100,18,radio/TV
2,49,male,1,own,little,NA,2096,12,education
673,24,male,2,own,quite rich,NA,2080,6,car
49,28,female,2,own,moderate,NA,2073,12,radio/TV
24,26,male,2,own,NA,NA,2069,10,furniture/equipment
172,34,female,3,own,little,moderate,2064,24,furniture/equipment
937,30,male,3,rent,little,moderate,2063,6,radio/TV
433,33,male,2,own,little,NA,2058,24,repairs
608,33,male,2,own,little,NA,2051,18,radio/TV
405,22,male,2,own,little,moderate,2039,24,radio/TV
585,20,female,2,rent,little,little,2039,18,furniture/equipment
541,60,male,2,free,little,NA,2032,24,car
254,24,male,2,own,NA,moderate,2030,9,furniture/equipment
421,30,male,2,own,NA,moderate,2028,12,car
984,30,male,1,own,little,NA,2028,24,furniture/equipment
546,37,female,2,own,little,NA,2022,24,car
96,61,female,2,own,NA,NA,2012,12,education
923,30,male,2,rent,little,moderate,2002,12,car
553,27,male,2,own,moderate,moderate,1995,12,car
731,21,male,1,rent,little,little,1987,24,radio/TV
133,47,male,2,free,little,NA,1984,18,furniture/equipment
633,19,female,2,rent,little,NA,1980,9,furniture/equipment
625,35,male,2,own,NA,NA,1979,15,radio/TV
74,40,male,3,own,NA,little,1977,36,education
410,20,female,2,own,little,moderate,1967,24,radio/TV
591,42,female,2,rent,NA,moderate,1965,24,car
178,31,male,3,rent,little,NA,1963,12,radio/TV
58,23,female,3,own,little,rich,1961,18,car
393,31,female,2,own,little,little,1957,6,radio/TV
62,61,male,3,free,little,moderate,1953,36,business
464,34,male,2,own,little,NA,1950,18,business
842,23,female,2,own,little,NA,1943,18,repairs
785,35,male,1,own,rich,moderate,1941,18,business
781,60,male,2,own,rich,NA,1940,24,car
876,36,male,3,free,little,little,1940,18,radio/TV
321,32,male,2,own,little,little,1938,24,radio/TV
992,23,male,1,rent,NA,little,1936,18,radio/TV
169,31,male,2,own,little,moderate,1935,24,business
206,43,male,2,own,little,NA,1935,12,furniture/equipment
490,26,male,2,own,little,NA,1934,12,radio/TV
559,31,male,1,own,little,moderate,1928,18,furniture/equipment
577,33,female,2,own,NA,NA,1927,24,education
